"","Longitude","Latitude","School.ID","Enrollment.x","Grade.Level","src_school_id","school_name","overall_city_rank","ach_city_rank","prog_city_rank","clim_city_rank","cc_city_rank","Serious.Incidents","Total.Suspensions","Count.Native.American.y","Percent.Native.American.y","Count.Asian.y","Percent.Asian.y","Count.Black.y","Percent.Black.y","Count.Hispanic.y","Percent.Hispanic.y","Count.Multirace.y","Percent.Multirace.y","Count.Pacific.Islander.y","Percent.Pacific.Islander.y","Count.White.y","Percent.White.y"
"1",-75.197,40.046,6250,478,"Elem/Middle","625","Charles W. Henry School","16th of 126","23rd of 126","19th of 126","36th of 126",NA,26,28,0,0,2,0.0041841,351,0.73430962,17,0.03556485,57,0.11924686,0,0,51,0.10669456
"2",-75.087,40.015,7360,404,"Elementary School","736","John Marshall School","58th of 61","52nd of 61","50th of 61","58th of 62",NA,34,40,2,0.0049505,1,0.00247525,219,0.54207921,109,0.26980198,48,0.11881188,0,0,25,0.06188119
"3",-75.138,40.015,7380,610,"Elementary School","738","Alexander K. McClure School","46th of 61","41st of 61","45th of 61","34th of 62",NA,11,11,1,0.00163934,4,0.00655738,192,0.3147541,371,0.60819672,40,0.06557377,0,0,2,0.00327869
"4",-75.074,40.013,7110,756,"Middle School","711","Warren G. Harding School","28th of 33","25th of 33","26th of 33","31st of 33",NA,170,302,1,0.00132275,6,0.00793651,420,0.55555556,231,0.30555556,25,0.03306878,0,0,73,0.09656085
"5",-75.121,39.997,5260,919,"Elementary School","526","Lewis Elkin School","26th of 61","38th of 61","7th of 61","45th of 62",NA,38,72,1,0.00108814,2,0.00217628,155,0.16866159,668,0.72687704,72,0.07834603,0,0,21,0.02285092
"6",-75.167,39.995,4060,492,"High School","406","Murrell Dobbins Career and Technical High School","52nd of 71","56th of 70","50th of 71","55th of 72","46th of 70",48,166,0,0,2,0.00406504,455,0.92479675,30,0.06097561,0,0,0,0,5,0.0101626
"7",-75.112,39.993,5060,594,"High School","506","Jules E. Mastbaum Area Vocational Technical High School","47th of 71","41st of 70","55th of 71","48th of 72","37th of 70",46,166,0,0,9,0.01515152,306,0.51515152,243,0.40909091,5,0.00841751,0,0,31,0.05218855
"8",-75.145,39.989,5320,535,"Elementary School","532","John F. Hartranft School","109th of 126","88th of 126","112nd of 126","108th of 126",NA,25,44,3,0.00560748,0,0,345,0.64485981,144,0.26915888,37,0.06915888,0,0,6,0.01121495
"9",-75.244,39.953,1230,490,"Elementary School","123","William C. Bryant School","97th of 126","111st of 126","54th of 126","112nd of 126",NA,33,107,4,0.00816327,0,0,463,0.94489796,4,0.00816327,17,0.03469388,0,0,2,0.00408163
"10",-75.171,39.94,2450,317,"Elem/Middle","245","Edwin M. Stanton School","82nd of 126","60th of 126","73rd of 126","87th of 126",NA,29,66,2,0.00630915,3,0.00946372,275,0.86750789,9,0.02839117,21,0.06624606,0,0,7,0.02208202
"11",-75.24,39.927,1250,615,"Elementary School","125","Joseph W. Catharine School","15th of 61","17th of 61","17th of 61","20th of 62",NA,5,2,1,0.00162602,76,0.12357724,466,0.75772358,19,0.03089431,46,0.07479675,0,0,7,0.01138211
"12",-75.151,39.924,2160,695,"High School","216","Furness High School","41st of 71","53rd of 70","35th of 71","40th of 72","42nd of 70",47,26,1,0.00143885,330,0.47482014,187,0.26906475,104,0.14964029,9,0.01294964,0,0,64,0.09208633
"13",-75.208,39.953,1280,564,"Elem/Middle","128","Sadie Alexander School","6th of 126","City Leader","25th of 126","City Leader",NA,0,1,3,0.00531915,104,0.18439716,135,0.2393617,38,0.06737589,61,0.10815603,2,0.0035461,221,0.39184397
"14",-75.024,40.114,8440,774,"Elementary School","844","William H. Loesche School","3rd of 61","6th of 61","9th of 61","7th of 62",NA,40,10,3,0.00387597,143,0.18475452,68,0.0878553,57,0.07364341,73,0.09431525,1,0.00129199,429,0.55426357
"15",-75.014,40.092,8090,618,"High School","809","Swenson Arts and Technology High School","31st of 71","33rd of 70","30th of 71","20th of 72","31st of 70",42,71,0,0,40,0.06472492,210,0.33980583,144,0.23300971,16,0.02588997,0,0,208,0.33656958
"16",-75.053,40.091,8160,1209,"Middle School","816","Baldi School","2nd of 33","5th of 33","6th of 33","7th of 33",NA,8,90,4,0.00330852,239,0.19768404,183,0.15136476,107,0.08850289,58,0.04797353,0,0,618,0.51116625
"17",-75.084,40.039,7220,1007,"Elem/Middle","722","Laura H. Carnell School","35th of 61","50th of 61","12th of 61","54th of 62",NA,52,154,1,0.00099305,36,0.03574975,564,0.56007944,258,0.25620655,92,0.09136048,2,0.0019861,54,0.05362463
"18",-75.062,40.03,8200,904,"Elem/Middle","820","Ethan Allen School","41st of 126","48th of 126","27th of 126","62nd of 126",NA,30,64,4,0.00442478,122,0.13495575,295,0.32632743,241,0.26659292,90,0.09955752,2,0.00221239,150,0.1659292
"19",-75.13,40.002,5470,562,"Elementary School","547","William Cramp School","43rd of 61","55th of 61","25th of 61","52nd of 62",NA,38,88,0,0,3,0.00533808,81,0.14412811,434,0.77224199,35,0.06227758,0,0,9,0.01601423
"20",-75.154,39.979,5250,246,"Elementary School","525","Paul L. Dunbar School","116th of 126","92nd of 126","119th of 126","103rd of 126",NA,29,32,0,0,0,0,212,0.86178862,11,0.04471545,22,0.08943089,0,0,1,0.00406504
